Timestamp,Age,Gender,Occupation,Frequency,Time,Language,Genre,Type,Channels
2/13/2018 1:22:50,19-25,Male,Student,Daily,"6pm - 9pm, 9pm - 12am",Marathi,"Family Drama, Comedy","Quiz shows, Talent shows","Colors Marathi, Zee Marathi, Sony Sab"
2/13/2018 8:30:30,35+,Male,Business,Daily,"7am - 12pm, 12pm - 3pm, 3pm - 6pm, 6pm - 9pm, 9pm - 12am","Marathi, English, Hindi","Family Drama, Comedy, Horror, Romance","Quiz shows, Talent shows, Dare/Challenge shows, Chit -chat shows",Romedy Now
2/20/2018 15:59:53,19-25,Female,Student,Daily,9pm - 12am,Hindi,Romance,"Quiz shows, Talent shows",Sony TV
2/20/2018 16:07:36,26-30,Male,Service,Daily,9pm - 12am,"Marathi, English","Comedy, Horror, Romance","Quiz shows, Talent shows, Chit -chat shows","Colors Marathi, Zee Marathi, Zee Yuva, Sony Sab, Comedy Central, Zee Cafe"
2/20/2018 16:22:11,19-25,Male,Student,Daily,"3pm - 6pm, 6pm - 9pm, 9pm - 12am","English, Hindi",Comedy,"Quiz shows, Talent shows","Sony TV, Sony Sab, Star Plus, Comedy Central"
2/20/2018 16:25:34,19-25,Male,Student,Daily,9pm - 12am,"English, Japanese","Comedy, Romance",Quiz shows,"netflix,kissanime"
2/20/2018 17:18:24,19-25,Male,Student,Twice/Thrice a week,6pm - 9pm,"English, Hindi","Family Drama, Comedy","Quiz shows, Talent shows","Sony Sab, Comedy Central, Zee Cafe"
2/20/2018 17:19:22,19-25,Male,Student,Only on weekends,9pm - 12am,English,Comedy,Quiz shows,"Comedy Central, Romedy Now, Zee Cafe"
2/20/2018 17:54:13,19-25,Female,Student,Not a huge fan of Tv shows,9pm - 12am,"Marathi, English, Hindi",Comedy,Quiz shows,"Zee Marathi, Sony Sab"
2/20/2018 17:58:16,19-25,Female,Student,Twice/Thrice a week,"7am - 12pm, 6pm - 9pm, 9pm - 12am",English,"Family Drama, Comedy, Horror, Romance","Quiz shows, Talent shows, Chit -chat shows","Comedy Central, Romedy Now, Zee Cafe, Star World"
2/20/2018 17:58:44,19-25,Male,Student,Twice/Thrice a week,6pm - 9pm,"English, Hindi",Comedy,Quiz shows,"Comedy Central, HBO"
2/20/2018 18:01:01,19-25,Male,Student,Twice/Thrice a week,9pm - 12am,Hindi,Comedy,Talent shows,"Sony TV, Sony Sab, Star Plus, Colors, Comedy Central"
2/20/2018 18:17:56,19-25,Female,Student,Daily,6pm - 9pm,"English, Hindi","Family Drama, Comedy",Chit -chat shows,"Sony Sab, Star Plus, Comedy Central, Romedy Now, Zee Cafe"
2/20/2018 18:55:13,19-25,Female,Student,Only on weekends,9pm - 12am,"Marathi, English, Hindi","Family Drama, Comedy, Romance","Quiz shows, Talent shows, Dare/Challenge shows","Zee Marathi, Sony Sab, Comedy Central"
2/20/2018 19:05:04,19-25,Female,Student,Daily,6pm - 9pm,"Marathi, English, Hindi","Comedy, Horror, Romance","Quiz shows, Talent shows, Dare/Challenge shows, Chit -chat shows","Zee Marathi, Sony TV, Colors, Comedy Central, Romedy Now"
2/20/2018 19:26:25,19-25,Female,Student,Daily,"6pm - 9pm, 9pm - 12am",Hindi,"Family Drama, Comedy",Talent shows,"Sony TV, Sony Sab, Star Plus"
2/20/2018 19:32:25,19-25,Female,Student,Daily,6pm - 9pm,Hindi,Comedy,"Quiz shows, Talent shows, Chit -chat shows","Sony TV, Comedy Central"
2/20/2018 19:36:29,19-25,Female,Student,Twice/Thrice a week,"3pm - 6pm, 6pm - 9pm","English, Hindi","Family Drama, Comedy","Quiz shows, Talent shows","Sony Sab, Star Plus, Colors"
2/20/2018 20:01:20,19-25,Female,Student,Not a huge fan of Tv shows,9pm - 12am,Hindi,"Comedy, Romance","Talent shows, Dare/Challenge shows",Star Plus
2/20/2018 20:28:33,19-25,Male,Student,Not a huge fan of Tv shows,12pm - 3pm,English,Comedy,"Quiz shows, Dare/Challenge shows","Comedy Central, Romedy Now, Zee Cafe"
2/20/2018 20:30:18,19-25,Male,Student,Daily,9pm - 12am,Hindi,Comedy,Quiz shows,Sony Sab
